0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,8:30.0,A. Wiggins makes free throw 1 of 2,+1,7-13
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,8:30.0,A. Wiggins makes free throw 2 of 2,+1,8-13
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,8:18.0, , ,8-13
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,8:16.0, , ,8-13
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,8:14.0, , ,8-13
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,8:09.0, , ,8-13
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,8:07.0, , ,8-16
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,7:57.0,Offensive foul by K. Oubre (drawn by J. Harris), ,8-16
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,7:57.0,Turnover by K. Oubre (offensive foul), ,8-16
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,7:47.0, , ,8-16
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,7:44.0,Defensive rebound by J. Wiseman, ,8-16
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,7:32.0,A. Wiggins misses 2-pt layup from 2 ft, ,8-16
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,7:28.0, , ,8-16
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,7:20.0, , ,8-18
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,7:20.0,Golden State full timeout, ,8-18
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,7:20.0,K. Looney enters the game for J. Wiseman, ,8-18
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,7:06.0,E. Paschall misses 2-pt layup from 3 ft (block by D. Jordan), ,8-18
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,7:01.0, , ,8-18
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,6:58.0, , ,8-20
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,6:41.0,K. Oubre misses 3-pt jump shot from 23 ft, ,8-20
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,6:40.0,Offensive rebound by E. Paschall, ,8-20
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,6:40.0,Shooting foul by K. Irving (drawn by E. Paschall), ,8-20
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,6:40.0,E. Paschall misses free throw 1 of 2, ,8-20
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,6:40.0,Offensive rebound by Team, ,8-20
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,6:40.0,E. Paschall makes free throw 2 of 2,+1,9-20
202012220BRK,2020-21,December,22,2020,wiggian01,curryst01,oubreke01,wisemja01,pascher01,irvinky01,duranke01,harrijo01,dinwisp01,jordade01,6:23.0, , ,9-23
